Feature,Reference,HighFiO2,ReferenceRank,HighRank,SHAP_change
Fraction inspired oxygen,0.00024733009181381326,0.0009048581716137013,17.0,2.0,0.0006575280797998879
Creatinine,0.00046350660764561035,0.0009404590510251835,4.0,1.0,0.0004769524433795731
Glascow coma scale verbal response->No Response-ETT,0.00031709029011945945,0.0006968191134189124,12.0,4.0,0.00037972882329945294
Bilirubin,0.0003695330142736116,0.0006918817676032119,8.0,5.0,0.0003223487533296003
Glascow coma scale motor response->Obeys Commands,0.0002337123862415395,0.0005489164673719695,18.0,10.0,0.00031520408113043
Lactate,0.00036635300194679904,0.0006346147078889208,9.0,7.0,0.00026826170594212176
Glascow coma scale verbal response->Oriented,0.0003832058337130443,0.0006316213539154229,6.0,8.0,0.00024841552020237855
Potassium,0.0002852899908707407,0.0005259391615917093,14.0,11.0,0.00024064917072096862
Glascow coma scale motor response->No response,0.00031476971683333705,0.0004973868002038895,13.0,12.0,0.00018261708337055248
Glascow coma scale eye opening->Spontaneously,0.00018063600752712776,0.00035183433766689177,26.0,20.0,0.000171198330139764
mask->Glucose,0.00018832339997259712,0.0003521606510785034,23.0,19.0,0.0001638372511059063
mask->Glascow coma scale eye opening,0.000279540406209348,0.00043290559960302254,15.0,16.0,0.00015336519339367453
Glascow coma scale motor response->Flex-withdraws,0.0,0.00015062854604506033,78.5,40.0,0.00015062854604506033
Glascow coma scale eye opening->To Pain,0.00018398909974735034,0.00033319517525528755,24.0,22.0,0.0001492060755079372
Diastolic blood pressure,0.0003446167172394728,0.0004916107450566565,11.0,14.0,0.00014699402781718373
Glascow coma scale eye opening->4 Spontaneously,2.861465287272343e-05,0.00017233477289536837,52.0,36.0,0.00014372012002264494
Systolic blood pressure,0.0002515104052186838,0.00039361922850276104,16.0,18.0,0.00014210882328407725
mask->Hematocrit,0.00020684073767170594,0.0003474822563879757,22.0,21.0,0.00014064151871626978
mask->Glascow coma scale verbal response,9.742643705935213e-05,0.0002242752625093225,38.0,28.0,0.00012684882544997038
Weight,0.0003624586375562918,0.0004857839632459463,10.0,15.0,0.00012332532568965453
mask->Fraction inspired oxygen,0.00059285190266678,0.0007156943441739268,2.0,3.0,0.00012284244150714677
mask->Prothrombin time,0.0001609141500990674,0.00027604984743108353,31.0,26.0,0.00011513569733201612
mask->Temperature,0.0001663226128798101,0.00028030894056637685,30.0,24.0,0.00011398632768656674
mask->pH,0.0001702947479669111,0.00027626880970821034,29.0,25.0,0.00010597406174129925
mask->Glascow coma scale motor response,9.4618668251704e-05,0.0001969876961018306,39.0,33.0,0.00010236902785012662
Hemoglobin,0.00021016318575325008,0.0003053612227720966,21.0,23.0,9.519803701884652e-05
Glascow coma scale motor response->Localizes Pain,4.721071814387893e-05,0.0001389138473610463,47.0,42.0,9.170312921716737e-05
Heart Rate,0.0004090923452950849,0.0004934010373187607,5.0,13.0,8.430869202367578e-05
Hematocrit,0.00010571461637998898,0.000186339229904728,34.0,34.0,8.062461352473902e-05
mask->Sodium,0.00012601864673654392,0.000201153002986755,33.0,32.0,7.513435625021108e-05
Oxygen saturation,4.3379246879234516e-05,0.00011782213526837355,48.0,46.0,7.444288838913903e-05
Glascow coma scale motor response->Abnormal Flexion,8.1298998650207e-05,0.000151728806538524,42.0,39.0,7.0429807888317e-05
White blood cell count,0.0005227839718449164,0.0005877124325281979,3.0,9.0,6.492846068328157e-05
Sodium,0.00021107648065531078,0.0002685714291702622,20.0,27.0,5.7494948514951426e-05
mask->Potassium,0.00010390607971828558,0.00016100446226681312,35.0,37.0,5.709838254852754e-05
mask->Hemoglobin,8.222003136075055e-05,0.00013749705176433678,41.0,43.0,5.527702040358623e-05
mask->Weight,4.753572147606633e-05,0.00010248214041579643,46.0,48.0,5.494641893973011e-05
mask->Mean blood pressure,3.996178308665795e-05,9.275491927387932e-05,49.0,50.0,5.279313618722137e-05
mask->Oxygen saturation,1.853461836662795e-05,7.120237011033795e-05,56.0,51.0,5.266775174371e-05
mask->Diastolic blood pressure,4.8672762885300834e-05,0.00010051944558280364,45.0,49.0,5.18466826975028e-05
Prothrombin time,0.00013531403254131528,0.00018331855885256838,32.0,35.0,4.800452631125311e-05
Temperature,0.0006040124520007832,0.0006516028572228963,1.0,6.0,4.759040522211316e-05
mask->Heart Rate,6.949862887110451e-06,5.243262206962751e-05,59.0,55.0,4.548275918251706e-05
mask->White blood cell count,9.94057589778663e-05,0.00013953931830676354,37.0,41.0,4.0133559328897234e-05
mask->Systolic blood pressure,2.8940240162089736e-05,6.878298319914183e-05,51.0,52.0,3.9842743037052096e-05
Mean blood pressure,7.693455098749525e-05,0.00011230193230721451,43.0,47.0,3.5367381319719265e-05
mask->Platelets,9.033412364038244e-05,0.00012551515595011554,40.0,45.0,3.5181032309733096e-05
mask->Respiratory rate,1.5622651348860353e-05,4.856254428429259e-05,57.0,56.0,3.293989293543224e-05
Glascow coma scale verbal response->No Response,3.39251043799597e-05,6.684657227160532e-05,50.0,54.0,3.292146789164563e-05
mask->Creatinine,0.00010186373186387802,0.00013452849528873933,36.0,44.0,3.26647634248613e-05
Glascow coma scale eye opening->To Speech,0.00017467100164199797,0.00020141123508046977,27.0,31.0,2.674023343847179e-05
Platelets,0.00037100556698656343,0.00039761807145075306,7.0,17.0,2.6612504464189628e-05
mask->Lactate,0.0001839335541199934,0.00020287637548536372,25.0,30.0,1.8942821365370313e-05
Respiratory rate,5.074648775564109e-05,6.873748952316642e-05,44.0,53.0,1.7991001767525326e-05
Glascow coma scale motor response->6 Obeys Commands,1.1994394991650855e-05,2.539144395717526e-05,58.0,59.0,1.3397048965524405e-05
Glucose,2.4808160829802493e-05,3.7524826961769206e-05,53.0,57.0,1.2716666131966713e-05
Glascow coma scale verbal response->5 Oriented,1.9257831290057463e-05,3.054548932809098e-05,55.0,58.0,1.1287658038033516e-05
Height,0.0,7.654921137524677e-06,78.5,61.0,7.654921137524677e-06
mask->Height,0.0,2.825943132241567e-06,78.5,62.0,2.825943132241567e-06
Glascow coma scale verbal response->Incomprehensible sounds,0.0,2.5012345273959607e-06,78.5,63.0,2.5012345273959607e-06
Glascow coma scale verbal response->Inappropriate Words,0.0,0.0,78.5,80.5,0.0
Glascow coma scale verbal response->1.0 ET/Trach,0.0,0.0,78.5,80.5,0.0
Glascow coma scale motor response->1 No Response,0.0,0.0,78.5,80.5,0.0
Capillary refill rate->1.0,0.0,0.0,78.5,80.5,0.0
Glascow coma scale total->5,0.0,0.0,78.5,80.5,0.0
Glascow coma scale total->4,0.0,0.0,78.5,80.5,0.0
Glascow coma scale eye opening->3 To speech,0.0,0.0,78.5,80.5,0.0
Glascow coma scale motor response->3 Abnorm flexion,0.0,0.0,78.5,80.5,0.0
Glascow coma scale total->10,0.0,0.0,78.5,80.5,0.0
Glascow coma scale total->14,0.0,0.0,78.5,80.5,0.0
Glascow coma scale total->12,0.0,0.0,78.5,80.5,0.0
Glascow coma scale total->15,0.0,0.0,78.5,80.5,0.0
Glascow coma scale motor response->5 Localizes Pain,0.0,0.0,78.5,80.5,0.0
Glascow coma scale motor response->4 Flex-withdraws,0.0,0.0,78.5,80.5,0.0
Capillary refill rate->0.0,0.0,0.0,78.5,80.5,0.0
Glascow coma scale eye opening->1 No Response,0.0,0.0,78.5,80.5,0.0
Glascow coma scale eye opening->None,0.0,0.0,78.5,80.5,0.0
Glascow coma scale total->11,0.0,0.0,78.5,80.5,0.0
Glascow coma scale motor response->2 Abnorm extensn,0.0,0.0,78.5,80.5,0.0
Glascow coma scale total->13,0.0,0.0,78.5,80.5,0.0
Glascow coma scale total->6,0.0,0.0,78.5,80.5,0.0
Glascow coma scale total->9,0.0,0.0,78.5,80.5,0.0
Glascow coma scale eye opening->2 To pain,0.0,0.0,78.5,80.5,0.0
Glascow coma scale verbal response->3 Inapprop words,0.0,0.0,78.5,80.5,0.0
Glascow coma scale total->7,0.0,0.0,78.5,80.5,0.0
Glascow coma scale total->3,0.0,0.0,78.5,80.5,0.0
Glascow coma scale verbal response->2 Incomp sounds,0.0,0.0,78.5,80.5,0.0
Glascow coma scale verbal response->4 Confused,0.0,0.0,78.5,80.5,0.0
mask->Capillary refill rate,0.0,0.0,78.5,80.5,0.0
mask->Glascow coma scale total,0.0,0.0,78.5,80.5,0.0
Glascow coma scale verbal response->1 No Response,0.0,0.0,78.5,80.5,0.0
Glascow coma scale total->8,0.0,0.0,78.5,80.5,0.0
pH,2.5626200119730484e-08,2.3875538116685085e-08,60.0,64.0,-1.7506620030453995e-09
